Title,Start,End,Duration,Created by,Description,Where,Calendar
(test) Calendar - room as resource,07/11/2013 15:30,07/11/2013 16:30,01:00,Lisa Chacon,(testing) add a room (resource) located in the right side column 'rooms' when add events,HubOak Conference Room,Conference Room
Ella and project Nuevo mundo,07/15/2013 14:00,07/15/2013 17:00,03:00,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,07/16/2013 15:00,07/16/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Co-Create Hub Oakland,07/17/2013 10:00,07/17/2013 12:00,02:00,Lisa Chacon,"Gather up for coffee, goodies and a hosted conversation about our growing community. Who are we as a WE? How do we want to play together? How can we individually and collectively support the emergence of Beauty, Creativity, Flow, Experience, Hosting and Content at Hub Oakland? Hosted by HUB Oakland's co-founders. ",,HUB Oakland Events
Oakland Pride Meeting,07/17/2013 17:00,07/17/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
Air conditioning repair,07/18/2013 08:00,07/18/2013 12:00,04:00,Lisa Chacon,,,Conference Room
membership onboarding tech overview,07/18/2013 16:00,07/18/2013 16:30,00:30,Lisa Chacon,membership tech overview,hub oakland,Conference Room
Ella,07/22/2013 14:30,07/22/2013 15:30,01:00,Lisa Chacon,,,Conference Room
Test Use,07/22/2013 16:00,07/22/2013 17:00,01:00,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,07/23/2013 15:00,07/23/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Personal Productivity-Lift Coaching,07/24/2013 12:00,07/24/2013 13:00,01:00,Lisa Chacon,,,Conference Room
Personal Productivity-Lift Coaching,07/24/2013 12:00,07/24/2013 13:00,01:00,Lisa Chacon,"FREE â members (discount code: HUBmember)
$20 â non-members
Are you acheiving optimal performance with your time and energy at work?
The answer for most of us is that there is always room for improvement. In this session we will review best practices for task, time and communication management. You will leave with real simple techniques to employ tomorrow for increased productivity.",,HUB Oakland Events
Path2Justice,07/25/2013 18:00,07/25/2013 21:00,03:00,Lisa Chacon,Multi-session process to address the verdict of Trayvon Martin. Refreshments & snacks included.,HUB Oakland,HUB Oakland Events
Hub Oak Staff Meeting,07/30/2013 15:00,07/30/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Exercises in Co-Creation for Social Change - Fedor Ovchinnikov,07/30/2013 18:00,07/30/2013 20:00,02:00,Lisa Chacon,"Help participants rediscover their natural capacity to collaborate and co-create without predetermined structures, allowing roles and processes to emerge organically along the way.",HUB Oakland Conference Room,Conference Room
Exercises in Co-Creation for Social Change - Fedor Ovchinnikov,07/30/2013 18:00,07/30/2013 20:00,02:00,Lisa Chacon,"Help participants rediscover their natural capacity to collaborate and co-create without predetermined structures, allowing roles and processes to emerge organically along the way.",HUB Oakland Conference Room,HUB Oakland Events
Fight for Lite Fundraiser w/ Van Jones,08/02/2013 18:00,08/02/2013 22:00,04:00,Lisa Chacon,,,HUB Oakland Events
Pachamama speaker series,08/06/2013 12:00,08/06/2013 13:00,01:00,Lisa Chacon,,,HUB Oakland Events
Pachamama speaker series,08/06/2013 12:00,08/06/2013 13:00,01:00,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,08/06/2013 15:00,08/06/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Win as a Consultant - Sam Burb,08/07/2013 12:00,08/07/2013 13:00,01:00,Lisa Chacon,Are you a consultant who wants to grow your business?  This interactive workshop will help both in starting and growing independent consulting. ,Hub Oakland Conference Room,Conference Room
Win as a Consultant - Sam Burb,08/07/2013 12:00,08/07/2013 13:00,01:00,Lisa Chacon,Are you a consultant who wants to grow your business?  This interactive workshop will help both in starting and growing independent consulting. ,Hub Oakland Conference Room,HUB Oakland Events
Blerdology: Blerd Night Out,08/09/2013 19:00,08/09/2013 22:00,03:00,Lisa Chacon,http://blerdology.co/bno/sanfrancisco/,San Francisco,HUB Oakland Events
Create your own learning plan,08/12/2013 12:00,08/12/2013 14:00,02:00,Lisa Chacon,"Conference room
Jacob Levin",Hub Oakland,HUB Oakland Events
Create your own learning plan,08/12/2013 12:00,08/12/2013 14:00,02:00,Lisa Chacon,"Conference room
Jacob Levin",Hub Oakland,Conference Room
Hub Oak Staff Meeting,08/13/2013 15:00,08/13/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Living Design Team mtg,08/14/2013 10:00,08/14/2013 11:30,01:30,Lisa Chacon,Konda contact person,,Conference Room
Good Allyship Planning Meeting,08/15/2013 10:00,08/15/2013 11:00,01:00,Lisa Chacon,,,Conference Room
Hidden Genius Project Private Event,08/15/2013 16:00,08/15/2013 21:00,05:00,Lisa Chacon,"Jason-510 575 9063

",,HUB Oakland Events
Hidden Genius Project Private Event,08/15/2013 16:00,08/15/2013 21:00,05:00,Lisa Chacon,,,Conference Room
Fair Trade Fridays,08/16/2013 18:00,08/16/2013 21:00,03:00,Lisa Chacon,Wine and food included.,,HUB Oakland Events
New Member Orientation,08/19/2013 10:00,08/19/2013 11:30,01:30,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,08/20/2013 15:00,08/20/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Co-Create With HUB Oakland,08/21/2013 10:30,08/21/2013 12:00,01:30,Lisa Chacon,Lisa point person,,HUB Oakland Events
East Bay Social Enterprise Summit-Shawn Berry LIFT,08/22/2013 17:00,08/22/2013 21:00,04:00,Lisa Chacon,Invite Only Event,,HUB Oakland Events
SFMade,08/24/2013 09:00,08/24/2013 11:00,02:00,Lisa Chacon,,,HUB Oakland Events
undoing racism training conf call,08/26/2013 10:30,08/26/2013 12:00,01:30,Lisa Chacon,,,Conference Room
SJ committee,08/26/2013 17:00,08/26/2013 19:00,02:00,Lisa Chacon,Pachamama SJ committee,,Conference Room
Hub Oak Staff Meeting,08/27/2013 15:00,08/27/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
New Member Orientation,08/27/2013 17:30,08/27/2013 18:30,01:00,Lisa Chacon,,,Conference Room
"""KING"" at The Grand Lake Theater",08/28/2013 18:00,08/28/2013 21:00,03:00,Lisa Chacon,Broaklyn Film & Theater and Hub Oakland Present: King: A Filmed Record / 50th Anniversary of March on Washington - https://www.facebook.com/events/1988992097906694/,the Grand Lake Theater,HUB Oakland Events
SBDC Series Website & Blog,08/28/2013 18:00,08/28/2013 20:00,02:00,Lisa Chacon,,,HUB Oakland Events
HOLD - Equator Coffee Klatch #1,08/29/2013 12:00,08/29/2013 13:30,01:30,Lisa Chacon,,bullpin,HUB Oakland Events
Impact Hub Oakland Brand/Mktg Mtg,08/30/2013 09:30,08/30/2013 10:30,01:00,Lisa Chacon,weekly mtg on IHO Brand and marketing,Impact Hub Oakland Conf Room,Conference Room
PRIDE,09/01/2013 09:00,09/01/2013 18:00,09:00,Lisa Chacon,,,HUB Oakland Events
Hub Oak Staff Meeting,09/03/2013 15:00,09/03/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Allyship Planning Meeting,09/05/2013 13:00,09/05/2013 14:00,01:00,Lisa Chacon,,,Conference Room
New Member Orientation,09/05/2013 14:30,09/05/2013 16:00,01:30,Lisa Chacon,,,Conference Room
HUB NA Breakfast Mixer post SOCAP,09/07/2013 09:00,09/07/2013 12:30,03:30,Lisa Chacon,,,HUB Oakland Events
SBDC Business Plan workshop,09/10/2013 09:00,09/10/2013 12:00,03:00,Lisa Chacon,,,HUB Oakland Events
Hub Oak Staff Meeting,09/10/2013 15:00,09/10/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
New Member Orientation,09/11/2013 10:00,09/11/2013 11:30,01:30,Lisa Chacon,,,Conference Room
Co-Create With HUB Oakland,09/11/2013 10:30,09/11/2013 12:00,01:30,Lisa Chacon,Lisa point person,,HUB Oakland Events
Art of Hosting Session 1,09/11/2013 12:00,09/11/2013 13:30,01:30,Lisa Chacon,,,Conference Room
Art of Hosting Session 1,09/11/2013 12:00,09/11/2013 13:30,01:30,Lisa Chacon,,,HUB Oakland Events
Green Festival Host Committee Mtg,09/12/2013 18:00,09/12/2013 20:30,02:30,Lisa Chacon,,,HUB Oakland Events
Impact Hub Oakland Brand/Mktg Mtg,09/13/2013 09:30,09/13/2013 10:30,01:00,Lisa Chacon,weekly mtg on IHO Brand and marketing,Impact Hub Oakland Conf Room,Conference Room
Connected Viewers Lunch,09/13/2013 12:30,09/13/2013 14:00,01:30,Lisa Chacon,"market research lunch session w/ Ashara Ekundayo, Impact Hub Oakland & Rachel Newell, School of Thought, on connected viewers w/ tech & creative community members","Impact Hub Oakland, conference room or bullpin",Conference Room
Integral Awakening Michael Brabant,09/15/2013 12:00,09/15/2013 18:00,06:00,Lisa Chacon,,,HUB Oakland Events
Anthesis Strategy Planning Group Meeting,09/16/2013 09:00,09/16/2013 18:00,09:00,Lisa Chacon,,,Conference Room
Anthesis Strategy Planning Group Meeting,09/17/2013 09:00,09/17/2013 18:00,09:00,Lisa Chacon,,,Conference Room
TED BYBB Lunch,09/17/2013 12:00,09/17/2013 13:30,01:30,Lisa Chacon,,,HUB Oakland Events
Hub Oak Staff Meeting,09/17/2013 15:30,09/17/2013 17:30,02:00,Lisa Chacon,,Hub Oak,Conference Room
Allyship Workshop Planning Meeting,09/18/2013 09:30,09/18/2013 10:30,01:00,Lisa Chacon,,,Conference Room
Oakland Votes: Redistricting Round Table-Steve Striker,09/18/2013 16:00,09/18/2013 21:30,05:30,Lisa Chacon,,,HUB Oakland Events
Gassia Salibian Phone Call,09/19/2013 10:00,09/19/2013 11:00,01:00,Lisa Chacon,,Impact Hub Oakland Conference Room,Conference Room
Pathways2Justice Planning Meeting,09/19/2013 10:00,09/19/2013 11:00,01:00,Lisa Chacon,,Bullpen,Conference Room
High Tea with Numi,09/19/2013 13:00,09/19/2013 15:00,02:00,Lisa Chacon,,,HUB Oakland Events
New Member Orientation,09/19/2013 14:30,09/19/2013 16:00,01:30,Lisa Chacon,,,Conference Room
HOLD for Mike F,09/19/2013 18:30,09/19/2013 20:00,01:30,Lisa Chacon,,,Conference Room
Samkofa Women's Meeting,09/20/2013 18:00,09/20/2013 19:00,01:00,Lisa Chacon,,,HUB Oakland Events
Edward using Conference room,09/23/2013 11:00,09/23/2013 14:00,03:00,Lisa Chacon,,,Conference Room
New Member Orientation,09/24/2013 13:30,09/24/2013 15:00,01:30,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,09/24/2013 15:00,09/24/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Co-Create With HUB Oakland,09/25/2013 10:30,09/25/2013 12:00,01:30,Lisa Chacon,Lisa point person,,HUB Oakland Events
Art of Hosting Session 2,09/25/2013 12:00,09/25/2013 14:00,02:00,Lisa Chacon,,,HUB Oakland Events
Art of Hosting Session 2,09/25/2013 12:00,09/25/2013 14:00,02:00,Lisa Chacon,,,Conference Room
BAI Spiritual Bypass with Mark Forman,09/25/2013 19:00,09/25/2013 21:30,02:30,Lisa Chacon,Nathan Staffing,,HUB Oakland Events
High School Leadership Emersion from Denver,09/26/2013 09:00,09/26/2013 11:30,02:30,Lisa Chacon,"Seniors form Manual Hugh School in Denver, CO will be bringing students to the Hub as part of the deep-dive coursework to compare, analyze, evaluate, and replicate the strategic moves that revolutionaries make to impact change in their communities. ",Hub Oakland & Hub SF,HUB Oakland Events
High School Leadership Emersion from Denver,09/26/2013 16:00,09/26/2013 17:30,01:30,Lisa Chacon,"Seniors form Manual Hugh School in Denver, CO will be bringing students to the Hub as part of the deep-dive coursework to compare, analyze, evaluate, and replicate the strategic moves that revolutionaries make to impact change in their communities. ",Hub Oakland & Hub SF,HUB Oakland Events
SBDC,09/26/2013 18:00,09/26/2013 20:00,02:00,Lisa Chacon,Konda nathan and melissa set up and break down,,HUB Oakland Events
Eat Real Fest,09/27/2013 00:00,09/30/2013 00:00,72:00,Lisa Chacon,,,HUB Oakland Events
Impact Hub Oakland Brand/Mktg Mtg,09/27/2013 09:30,09/27/2013 10:30,01:00,Lisa Chacon,weekly mtg on IHO Brand and marketing,Impact Hub Oakland Conf Room,Conference Room
Late Night Art: TASTE,09/27/2013 17:00,09/27/2013 22:30,05:30,Lisa Chacon,set-up at 5pm,,HUB Oakland Events
Ray Piferrer,09/28/2013 10:00,09/28/2013 11:30,01:30,Lisa Chacon,"konda, back up staffing Kayla",,HUB Oakland Events
"""Grits & Greens"" at the Eat Real Festival",09/28/2013 15:00,09/28/2013 17:00,02:00,Lisa Chacon,"delicious conversations at the intersections of Food, Art & Tech!",Jack London Square - 55 Harrison Street,HUB Oakland Events
Undoing Racism training planing mtg,09/30/2013 09:00,09/30/2013 11:00,02:00,Lisa Chacon,,,Conference Room
Gobee meeting,09/30/2013 13:00,09/30/2013 16:00,03:00,Lisa Chacon,,,Conference Room
Wealth and Poverty Event Planning,10/01/2013 10:00,10/01/2013 11:00,01:00,Lisa Chacon,,,Conference Room
HOLD SFDC staff training,10/01/2013 12:30,10/01/2013 14:00,01:30,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,10/01/2013 15:00,10/01/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
kqed listening session,10/01/2013 18:00,10/01/2013 21:00,03:00,Lisa Chacon,,,HUB Oakland Events
New Member Orientation,10/02/2013 10:00,10/02/2013 11:30,01:30,Lisa Chacon,,,Conference Room
Katrina,10/02/2013 10:30,10/02/2013 13:30,03:00,Lisa Chacon,,,Conference Room
Laura Schatzkin,10/02/2013 15:00,10/02/2013 16:30,01:30,Lisa Chacon,,,Conference Room
"Kiran Jain, Oakland City Attorney",10/03/2013 11:30,10/03/2013 13:30,02:00,Lisa Chacon,,,Conference Room
Jenny Loda,10/03/2013 14:00,10/03/2013 15:00,01:00,Lisa Chacon,,,Conference Room
BALLE Conference Meeting,10/03/2013 18:00,10/03/2013 21:00,03:00,Lisa Chacon,,,Conference Room
Manuel Manga,10/07/2013 11:00,10/07/2013 13:00,02:00,Lisa Chacon,,,Conference Room
David,10/07/2013 13:00,10/07/2013 14:00,01:00,Lisa Chacon,,,Conference Room
3p-5:30p Konda,10/07/2013 15:00,10/07/2013 16:00,01:00,Lisa Chacon,,,Conference Room
BALLE - An Evening w/ Judy Wicks,10/07/2013 18:00,10/07/2013 21:00,03:00,Lisa Chacon,,,HUB Oakland Events
Francis Prevot,10/08/2013 10:30,10/08/2013 12:00,01:30,Lisa Chacon,,,Conference Room
FGJ mtg,10/08/2013 12:30,10/08/2013 13:30,01:00,Lisa Chacon,,Impact Hub Oakland,Conference Room
Training with maiki,10/08/2013 13:30,10/08/2013 14:30,01:00,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,10/08/2013 15:00,10/08/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Art of Hosting Session 3,10/09/2013 12:30,10/09/2013 14:00,01:30,Lisa Chacon,,,HUB Oakland Events
Art of Hosting Session 3,10/09/2013 12:30,10/09/2013 14:00,01:30,Lisa Chacon,,,Conference Room
Membership Dig In,10/09/2013 14:00,10/09/2013 16:00,02:00,Lisa Chacon,,,Conference Room
Anatomy of The Pitch w/ Kapor Center pt 1,10/09/2013 18:00,10/09/2013 20:00,02:00,Lisa Chacon,,,HUB Oakland Events
Gobee,10/10/2013 09:00,10/10/2013 12:00,03:00,Lisa Chacon,,,Conference Room
New Member Orientation,10/10/2013 15:00,10/10/2013 16:30,01:30,Lisa Chacon,,,Conference Room
Rob Hopkins Tabling @ Grand Lake,10/10/2013 19:00,10/10/2013 20:00,01:00,Lisa Chacon,Caleb is volunteering. We love that guy!!,,HUB Oakland Events
Reconstructing Narrative Workshop,10/10/2013 19:00,10/10/2013 20:00,01:00,Lisa Chacon,,,HUB Oakland Events
Green Fest Partner Conference Call,10/11/2013 14:00,10/11/2013 15:00,01:00,Lisa Chacon,The conference line number is 619-326-2772 Conference Code 4725324#,,Conference Room
Life is Living Fest,10/12/2013 00:00,10/13/2013 00:00,24:00,Lisa Chacon,,Not @ HUB,HUB Oakland Events
Save the Bay Communications team planning retreat,10/14/2013 10:00,10/14/2013 16:00,06:00,Lisa Chacon,,,Conference Room
Personal Finance Workshop,10/14/2013 19:00,10/14/2013 20:00,01:00,Lisa Chacon,Chanda Jones,,HUB Oakland Events
New Member Orientation,10/15/2013 10:00,10/15/2013 11:30,01:30,Lisa Chacon,,,Conference Room
TED BYBB Lunch,10/15/2013 12:00,10/15/2013 13:30,01:30,Lisa Chacon,,,HUB Oakland Events
Hub Oak Staff Meeting,10/15/2013 15:00,10/15/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
World Food Day,10/16/2013 00:00,10/17/2013 00:00,24:00,Lisa Chacon,,,HUB Oakland Events
mtg w/OAM & Impact HubOak,10/16/2013 12:00,10/16/2013 13:00,01:00,Lisa Chacon,,Impact Hub Oakland - 1423 Broadway,Conference Room
Reentry Meeting w/ Zakiya,10/16/2013 15:30,10/16/2013 16:30,01:00,Lisa Chacon,,,Conference Room
Anatomy of The Pitch w/ Kapor Center pt 2,10/16/2013 18:00,10/16/2013 20:00,02:00,Lisa Chacon,,,HUB Oakland Events
Design meeting w/Revive,10/17/2013 10:00,10/17/2013 12:00,02:00,Lisa Chacon,,Popup 1423 Broadway,Conference Room
Orientation Trainer Training,10/17/2013 13:00,10/17/2013 14:00,01:00,Lisa Chacon,,,Conference Room
Governance Meeting (Bi-Weekly),10/17/2013 15:30,10/17/2013 16:30,01:00,Lisa Chacon,,,Conference Room
PitchMixer,10/17/2013 19:00,10/17/2013 21:30,02:30,Lisa Chacon,This event marks the return of Pitchmixer produced by Ayori Selassie and Kalimah Priforce and co-presented by Impact Hub Oakland and Kapor Capital.,1423 Broadway,HUB Oakland Events
Impact Hub Oakland Brand/Mktg Mtg,10/18/2013 10:00,10/18/2013 11:30,01:30,Lisa Chacon,weekly mtg on IHO Brand and marketing,Impact Hub Oakland Conf Room,Conference Room
Superhero U,10/18/2013 18:00,10/18/2013 20:00,02:00,Lisa Chacon,,,HUB Oakland Events
Legal Eats SELC,10/19/2013 12:30,10/19/2013 17:30,05:00,Lisa Chacon,,,HUB Oakland Events
Working Founders Meeting,10/21/2013 09:30,10/21/2013 11:00,01:30,Lisa Chacon,,,Conference Room
Edward,10/21/2013 11:00,10/21/2013 16:00,05:00,Lisa Chacon,,,Conference Room
Kenneth Tyler,10/21/2013 16:00,10/21/2013 18:00,02:00,Lisa Chacon,,,Conference Room
Hold - Health Care Reform Workshop,10/21/2013 18:00,10/21/2013 19:30,01:30,Lisa Chacon,,,HUB Oakland Events
Francis Prevot,10/22/2013 10:30,10/22/2013 12:00,01:30,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,10/22/2013 15:00,10/22/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Sandra in Richmond (UT & Nutiva),10/23/2013 00:00,10/24/2013 00:00,24:00,Lisa Chacon,,Richmond (UT & Nutiva),HUB Oakland Events
New Member Orientation,10/23/2013 16:00,10/23/2013 17:30,01:30,Lisa Chacon,,,Conference Room
SBDC,10/24/2013 18:00,10/24/2013 20:00,02:00,Lisa Chacon,,,HUB Oakland Events
Impact Hub Oakland Brand/Mktg Mtg,10/25/2013 09:30,10/25/2013 10:30,01:00,Lisa Chacon,weekly mtg on IHO Brand and marketing,Impact Hub Oakland Conf Room,Conference Room
Fair Trade Friday,10/25/2013 17:30,10/25/2013 20:30,03:00,Lisa Chacon,Other founders are out of town. Please Host!,,HUB Oakland Events
Thomas Hubl livecast event,10/27/2013 09:00,10/27/2013 14:30,05:30,Lisa Chacon,,,HUB Oakland Events
Charles Eisenstein,10/27/2013 19:00,10/27/2013 21:30,02:30,Lisa Chacon,,,HUB Oakland Events
Kimberly,10/28/2013 10:30,10/28/2013 13:30,03:00,Lisa Chacon,,,Conference Room
convo w/Zach of Exygy,10/28/2013 13:30,10/28/2013 14:30,01:00,Lisa Chacon,,,Conference Room
Working Founders Meeting,10/28/2013 14:30,10/28/2013 16:00,01:30,Lisa Chacon,,,Conference Room
Farewell Lunch for Sandra,10/29/2013 12:30,10/29/2013 14:00,01:30,Lisa Chacon,our TechWomen Emerging Leader Sandra will be leaving IHO for a few days in Wash DC then back to South Africa - lets have a dinner party for her and send her off w/ good wishes and new friends.,TBD,HUB Oakland Events
Konda Contractor Meeting,10/29/2013 14:00,10/29/2013 15:00,01:00,Lisa Chacon,,,Conference Room
Hub Oak Staff Meeting,10/29/2013 15:00,10/29/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Fair Trade Oakland Committee Meeting,10/29/2013 18:00,10/29/2013 20:00,02:00,Lisa Chacon,Official launch of Fair Trade Oakland,BY Event,HUB Oakland Events
Sandra & Mikayla at Stanford for FoodTech Conference,10/30/2013 00:00,10/31/2013 00:00,24:00,Lisa Chacon,,Stanford for FoodTech Conference,HUB Oakland Events
Co-Create,10/30/2013 10:30,10/30/2013 12:00,01:30,Lisa Chacon,,,HUB Oakland Events
Pac + Event,10/30/2013 17:00,10/30/2013 19:00,02:00,Lisa Chacon,60 people open to the public,,HUB Oakland Events
Sandra's LAST DAY!,10/31/2013 00:00,11/01/2013 00:00,24:00,Lisa Chacon,,,HUB Oakland Events
Coffee Klatch 3,10/31/2013 12:00,10/31/2013 14:00,02:00,Lisa Chacon,,,HUB Oakland Events
Impact Hub Oakland Brand/Mktg Mtg,11/01/2013 09:30,11/01/2013 10:30,01:00,Lisa Chacon,weekly mtg on IHO Brand and marketing,Impact Hub Oakland Conf Room,Conference Room
Kimberly,11/01/2013 11:00,11/01/2013 13:00,02:00,Lisa Chacon,,,Conference Room
Working Founders Meeting,11/04/2013 14:30,11/04/2013 16:00,01:30,Lisa Chacon,,,Conference Room
Kenneth Tyler,11/04/2013 16:00,11/04/2013 18:00,02:00,Lisa Chacon,,,Conference Room
"Meet Chido Govera, Founder of Future of Hope - Equator Coffee",11/04/2013 17:00,11/04/2013 19:00,02:00,Lisa Chacon,,,HUB Oakland Events
Conference room reserved for Co-Workers,11/04/2013 18:00,11/04/2013 21:00,03:00,Lisa Chacon,,,Conference Room
Odin Zackman,11/05/2013 09:30,11/05/2013 12:00,02:30,Lisa Chacon,,,Conference Room
Keep it real with your health - Ben & Caleb,11/05/2013 12:00,11/05/2013 14:00,02:00,Lisa Chacon,,Bull Pen or Conference room,Conference Room
Keep it real with your health - Ben & Caleb,11/05/2013 12:00,11/05/2013 14:00,02:00,Lisa Chacon,,Bull Pen or Conference room,HUB Oakland Events
Hub Oak Staff Meeting,11/05/2013 15:00,11/05/2013 17:00,02:00,Lisa Chacon,,Hub Oak,Conference Room
Mashable crew arrives for bgc,11/05/2013 16:00,11/05/2013 20:00,04:00,Lisa Chacon,,,Conference Room
Crowdfunding workshop with Jacob Gelfanb,11/05/2013 18:00,11/05/2013 20:00,02:00,Lisa Chacon,,,HUB Oakland Events
